,M,N,lb,ub,makespan,iters,total_t,prep_t,iter_t,d,tau,pmax,pmin,cols,box_size,box_bound
0,2,10,100,800,1046.5,11,0.0,0.0,0.0,1,2,299,299,11.545454545454545,117.81818181818181,10.0
1,2,10,100,800,1881.0,12,0.06958333333333333,5.798611111111111e-06,5.798611111111111e-06,5,2,778,130,181.83333333333334,504.0,4.0
2,2,10,100,800,1499.0,11,0.2656363636363636,2.414876033057851e-05,2.414876033057851e-05,7,2,650,171,436.6363636363636,324.0,2.0
3,2,10,100,800,3117.0,12,0.17483333333333334,1.4569444444444445e-05,1.4569444444444445e-05,4,1,794,144,53.5,156.83333333333334,5.0
4,2,10,100,800,3380.0,12,0.0003333333333333333,2.7777777777777777e-08,2.7777777777777777e-08,2,1,751,376,14.916666666666666,88.5,8.0
5,2,10,100,800,2294.0,11,0.00027272727272727274,2.4793388429752066e-08,2.4793388429752066e-08,2,1,532,410,17.90909090909091,115.0,7.0
6,2,10,100,800,1938.0,11,9.09090909090909e-05,8.264462809917355e-09,8.264462809917355e-09,2,2,572,444,20.727272727272727,274.54545454545456,9.0
7,2,10,100,800,1977.0,12,0.03175,2.6458333333333336e-06,2.6458333333333336e-06,5,2,788,342,217.91666666666666,354.0,3.0
8,2,10,100,800,1151.0,11,0.24372727272727274,2.215702479338843e-05,2.215702479338843e-05,4,1,735,138,36.81818181818182,378.0,7.0
9,2,10,100,800,1552.0,10,0.0064,6.4e-07,6.4e-07,3,1,374,215,40.8,140.6,5.0
10,2,10,100,800,1381.0,11,0.010363636363636363,9.421487603305784e-07,9.421487603305784e-07,4,2,678,208,97.36363636363636,500.0,5.0
11,2,10,100,800,962.5,11,0.0016363636363636363,1.4876033057851238e-07,1.4876033057851238e-07,3,2,681,216,36.63636363636363,624.0,8.0
12,2,10,100,800,1723.0,11,0.19354545454545455,1.759504132231405e-05,1.759504132231405e-05,4,1,603,224,55.36363636363637,250.0,5.0
13,2,10,100,800,1736.5,11,0.0015454545454545454,1.4049586776859503e-07,1.4049586776859503e-07,3,2,751,422,48.81818181818182,532.0,7.0
14,2,10,100,800,1524.0,10,0.0068,6.8e-07,6.8e-07,3,1,639,112,40.3,175.0,5.0
15,2,10,100,800,1442.0,11,9.09090909090909e-05,8.264462809917355e-09,8.264462809917355e-09,2,2,421,412,20.818181818181817,295.6363636363636,9.0
16,2,10,100,800,2341.5,12,0.0,0.0,0.0,1,2,669,669,11.583333333333334,118.5,10.0
17,2,10,100,800,725.0,10,0.0,0.0,0.0,1,1,145,145,6.3,43.7,10.0
18,2,10,100,800,2502.0,11,0.2349090909090909,2.1355371900826444e-05,2.1355371900826444e-05,4,1,780,208,61.0,207.8181818181818,5.0
19,2,10,100,800,826.0,10,0.0001,1e-08,1e-08,2,2,398,214,20.5,322.4,9.0
20,2,10,100,800,2577.0,12,0.0003333333333333333,2.7777777777777777e-08,2.7777777777777777e-08,2,1,556,353,14.833333333333334,88.5,8.0
21,2,10,100,800,2221.0,12,0.01025,8.541666666666667e-07,8.541666666666667e-07,4,2,764,146,97.16666666666667,500.0,5.0
22,2,10,100,800,2625.0,12,0.0,0.0,0.0,1,2,750,750,11.583333333333334,118.5,10.0
23,2,10,100,800,1605.0,11,9.09090909090909e-05,8.264462809917355e-09,8.264462809917355e-09,2,2,694,321,35.45454545454545,264.0,6.0
24,2,10,100,800,2714.0,12,0.012583333333333334,1.0486111111111112e-06,1.0486111111111112e-06,3,1,673,470,35.666666666666664,190.66666666666666,6.0
25,2,10,100,800,2148.0,11,0.00027272727272727274,2.4793388429752066e-08,2.4793388429752066e-08,2,1,767,358,11.181818181818182,125.18181818181819,9.0
26,2,10,100,800,742.0,10,0.0,0.0,0.0,1,2,212,212,11.6,118.8,10.0
27,2,10,100,800,2090.5,12,0.0015,1.25e-07,1.25e-07,3,2,747,223,48.833333333333336,357.8333333333333,7.0
28,2,10,100,800,2456.5,12,8.333333333333333e-05,6.944444444444444e-09,6.944444444444444e-09,2,2,742,461,20.833333333333332,268.8333333333333,9.0
29,2,10,100,800,951.0,11,9.09090909090909e-05,8.264462809917355e-09,8.264462809917355e-09,2,2,347,257,32.45454545454545,316.72727272727275,7.0
30,2,10,100,800,1800.0,11,0.00027272727272727274,2.4793388429752066e-08,2.4793388429752066e-08,2,1,698,300,11.363636363636363,130.27272727272728,9.0
31,2,10,100,800,1613.5,11,0.0,0.0,0.0,1,2,461,461,11.545454545454545,117.81818181818181,10.0
32,2,10,100,800,1995.0,11,0.00027272727272727274,2.4793388429752066e-08,2.4793388429752066e-08,2,1,399,302,11.181818181818182,103.45454545454545,9.0
33,2,10,100,800,1499.0,11,57.99036363636364,0.005271851239669422,0.005271851239669422,6,1,752,144,110.36363636363636,410.0,5.0
34,2,10,100,800,1449.5,11,0.05990909090909091,5.446280991735537e-06,5.446280991735537e-06,5,2,767,130,161.9090909090909,504.0,4.0
35,2,10,100,800,1737.0,12,8.333333333333333e-05,6.944444444444444e-09,6.944444444444444e-09,2,2,548,186,20.5,264.3333333333333,9.0
36,2,10,100,800,2078.0,12,0.12875,1.0729166666666667e-05,1.0729166666666667e-05,5,2,699,322,145.58333333333334,660.0,5.0
37,2,10,100,800,1611.0,11,0.011818181818181818,1.0743801652892562e-06,1.0743801652892562e-06,4,2,675,261,109.81818181818181,394.54545454545456,5.0
38,2,10,100,800,1701.0,12,0.022416666666666668,1.8680555555555558e-06,1.8680555555555558e-06,4,2,667,371,64.83333333333333,635.0,7.0
39,2,10,100,800,1827.0,12,0.0,0.0,0.0,2,2,738,351,36.916666666666664,210.0,5.0
40,2,10,100,800,2165.5,11,9.09090909090909e-05,8.264462809917355e-09,8.264462809917355e-09,2,2,788,393,35.27272727272727,205.45454545454547,6.0
41,2,10,100,800,2710.0,12,0.0,0.0,0.0,1,1,542,542,6.25,43.083333333333336,10.0
42,2,10,100,800,2925.0,12,0.0,0.0,0.0,1,1,585,585,6.25,43.083333333333336,10.0
43,2,10,100,800,3130.0,11,0.012181818181818183,1.1074380165289257e-06,1.1074380165289257e-06,3,1,761,505,27.181818181818183,175.8181818181818,7.0
44,2,10,100,800,2374.0,11,0.0014545454545454545,1.3223140495867768e-07,1.3223140495867768e-07,3,1,560,418,45.81818181818182,132.0,4.0
